Unique ID,Vulnerabilities
451,"CVE-2020-20262, CVE-2023-32154, CVE-2020-20267, CVE-2020-20264, CVE-2020-20265, CVE-2019-13074, CVE-2022-36522, CVE-2020-20225, CVE-2020-10364, CVE-2021-36614, CVE-2020-20221, CVE-2019-15055, CVE-2022-45315, CVE-2022-45313, CVE-2019-16160, CVE-2019-3977, CVE-2019-3978, CVE-2019-3979, CVE-2020-20021, CVE-2020-20252, CVE-2020-20250, CVE-2021-3014, CVE-2020-20217, CVE-2021-36613, CVE-2020-20230, CVE-2018-5951, CVE-2019-3976, CVE-2019-3943, CVE-2023-30799, CVE-2020-11881, CVE-2019-13954, CVE-2019-13955, CVE-2019-3924, CVE-2020-20249"
452,"CVE-2020-20262, CVE-2023-32154, CVE-2020-20267, CVE-2020-20264, CVE-2020-20265, CVE-2019-13074, CVE-2022-36522, CVE-2020-20225, CVE-2020-10364, CVE-2021-36614, CVE-2020-20221, CVE-2019-15055, CVE-2022-45315, CVE-2022-45313, CVE-2019-16160, CVE-2019-3977, CVE-2019-3978, CVE-2019-3979, CVE-2020-20021, CVE-2020-20252, CVE-2020-20250, CVE-2021-3014, CVE-2020-20217, CVE-2021-36613, CVE-2020-20230, CVE-2018-5951, CVE-2019-3976, CVE-2019-3943, CVE-2023-30799, CVE-2020-11881, CVE-2019-13954, CVE-2019-13955, CVE-2019-3924, CVE-2020-20249"
453,"CVE-2020-20262, CVE-2023-32154, CVE-2020-20267, CVE-2020-20264, CVE-2020-20265, CVE-2019-13074, CVE-2022-36522, CVE-2020-20225, CVE-2020-10364, CVE-2021-36614, CVE-2020-20221, CVE-2019-15055, CVE-2022-45315, CVE-2022-45313, CVE-2019-16160, CVE-2019-3977, CVE-2019-3978, CVE-2019-3979, CVE-2020-20021, CVE-2020-20252, CVE-2020-20250, CVE-2021-3014, CVE-2020-20217, CVE-2021-36613, CVE-2020-20230, CVE-2018-5951, CVE-2019-3976, CVE-2019-3943, CVE-2023-30799, CVE-2020-11881, CVE-2019-13954, CVE-2019-13955, CVE-2019-3924, CVE-2020-20249"
454,"CVE-2020-20262, CVE-2023-32154, CVE-2020-20267, CVE-2020-20264, CVE-2020-20265, CVE-2019-13074, CVE-2022-36522, CVE-2020-20225, CVE-2020-10364, CVE-2021-36614, CVE-2020-20221, CVE-2019-15055, CVE-2022-45315, CVE-2022-45313, CVE-2019-16160, CVE-2019-3977, CVE-2019-3978, CVE-2019-3979, CVE-2020-20021, CVE-2020-20252, CVE-2020-20250, CVE-2021-3014, CVE-2020-20217, CVE-2021-36613, CVE-2020-20230, CVE-2018-5951, CVE-2019-3976, CVE-2019-3943, CVE-2023-30799, CVE-2020-11881, CVE-2019-13954, CVE-2019-13955, CVE-2019-3924, CVE-2020-20249"
455,"CVE-2020-20262, CVE-2023-32154, CVE-2020-20267, CVE-2020-20264, CVE-2020-20265, CVE-2019-13074, CVE-2022-36522, CVE-2020-20225, CVE-2020-10364, CVE-2021-36614, CVE-2020-20221, CVE-2019-15055, CVE-2022-45315, CVE-2022-45313, CVE-2019-16160, CVE-2019-3977, CVE-2019-3978, CVE-2019-3979, CVE-2020-20021, CVE-2020-20252, CVE-2020-20250, CVE-2021-3014, CVE-2020-20217, CVE-2021-36613, CVE-2020-20230, CVE-2018-5951, CVE-2019-3976, CVE-2019-3943, CVE-2023-30799, CVE-2020-11881, CVE-2019-13954, CVE-2019-13955, CVE-2019-3924, CVE-2020-20249"
456,"CVE-2020-20262, CVE-2023-32154, CVE-2020-20267, CVE-2020-20264, CVE-2020-20265, CVE-2019-13074, CVE-2022-36522, CVE-2020-20225, CVE-2020-10364, CVE-2021-36614, CVE-2020-20221, CVE-2019-15055, CVE-2022-45315, CVE-2022-45313, CVE-2019-16160, CVE-2019-3977, CVE-2019-3978, CVE-2019-3979, CVE-2020-20021, CVE-2020-20252, CVE-2020-20250, CVE-2021-3014, CVE-2020-20217, CVE-2021-36613, CVE-2020-20230, CVE-2018-5951, CVE-2019-3976, CVE-2019-3943, CVE-2023-30799, CVE-2020-11881, CVE-2019-13954, CVE-2019-13955, CVE-2019-3924, CVE-2020-20249"
457,"CVE-2024-38475, CVE-2023-25690, CVE-2023-38709, CVE-2022-29404, CVE-2023-27522, CVE-2013-4365, CVE-2006-20001, CVE-2012-3526, CVE-2024-38476, CVE-2024-27316, CVE-2023-31122, CVE-2024-24795, CVE-2024-38472, CVE-2024-38473, CVE-2022-22721, CVE-2022-22720, CVE-2009-0796, CVE-2022-28330, CVE-2022-31813, CVE-2012-4001, CVE-2022-37436, CVE-2012-4360, CVE-2011-1176, CVE-2022-28614, CVE-2022-23943, CVE-2011-2688, CVE-2022-36760, CVE-2013-2765, CVE-2007-4723, CVE-2013-0941, CVE-2013-0942, CVE-2024-38477, CVE-2024-39573, CVE-2022-26377, CVE-2023-45802, CVE-2022-30556, CVE-2009-2299, CVE-2024-40898, CVE-2022-28615, CVE-2024-38474, CVE-2022-22719"
458,"CVE-2022-45315, CVE-2018-5951, CVE-2021-3014, CVE-2022-45313"
459,"CVE-2024-38475, CVE-2023-38709, CVE-2013-4365, CVE-2012-3526, CVE-2024-38476, CVE-2024-27316, CVE-2024-38474, CVE-2024-24795, CVE-2024-38472, CVE-2024-38473, CVE-2009-0796, CVE-2012-4001, CVE-2012-4360, CVE-2011-1176, CVE-2024-40898, CVE-2011-2688, CVE-2013-2765, CVE-2007-4723, CVE-2013-0941, CVE-2013-0942, CVE-2024-36387, CVE-2024-39573, CVE-2009-2299, CVE-2024-38477"
460,"CVE-2024-38475, CVE-2013-2765, CVE-2023-38709, CVE-2022-29404, CVE-2023-27522, CVE-2013-4365, CVE-2022-22720, CVE-2022-28330, CVE-2023-31122, CVE-2024-38476, CVE-2024-27316, CVE-2024-38474, CVE-2024-24795, CVE-2024-38472, CVE-2024-38473, CVE-2022-22721, CVE-2006-20001, CVE-2009-0796, CVE-2012-3526, CVE-2022-31813, CVE-2012-4001, CVE-2022-37436, CVE-2012-4360, CVE-2011-1176, CVE-2022-23943, CVE-2024-40898, CVE-2011-2688, CVE-2022-36760, CVE-2023-25690, CVE-2007-4723, CVE-2013-0941, CVE-2013-0942, CVE-2024-39573, CVE-2022-26377, CVE-2023-45802, CVE-2022-30556, CVE-2009-2299, CVE-2024-38477, CVE-2022-28615, CVE-2022-28614, CVE-2022-22719"
461,"CVE-2016-20012, CVE-2021-36368, CVE-2025-26465, CVE-2025-32728, CVE-2023-51767, CVE-2023-48795, CVE-2023-38408, CVE-2007-2768, CVE-2008-3844, CVE-2023-51385, CVE-2024-6387, CVE-2021-41617"
462,"CVE-2023-51385, CVE-2016-20012, CVE-2021-36368, CVE-2025-26465, CVE-2025-32728, CVE-2020-14145, CVE-2023-51767, CVE-2020-15778, CVE-2023-48795, CVE-2023-38408, CVE-2007-2768, CVE-2008-3844, CVE-2019-16905, CVE-2021-41617"
463,"CVE-2009-3765, CVE-2024-27316, CVE-2025-1219, CVE-2013-2220, CVE-2023-38709, CVE-2019-0190, CVE-2023-3823, CVE-2024-4577, CVE-2023-3824, CVE-2013-4365, CVE-2009-1390, CVE-2024-1874, CVE-2007-3205, CVE-2024-3566, CVE-2024-38475, CVE-2023-5678, CVE-2024-40898, CVE-2024-8932, CVE-2023-2650, CVE-2009-3766, CVE-2009-3767, CVE-2024-38474, CVE-2024-24795, CVE-2024-38472, CVE-2024-38473, CVE-2023-3247, CVE-2009-0796, CVE-2024-0727, CVE-2024-11233, CVE-2025-1861, CVE-2024-11234, CVE-2023-0466, CVE-2012-4001, CVE-2023-0464, CVE-2024-5458, CVE-2025-1734, CVE-2025-1736, CVE-2011-1176, CVE-2024-11236, CVE-2023-3817, CVE-2023-4807, CVE-2023-43622, CVE-2013-2765, CVE-2025-1217, CVE-2011-2688, CVE-2007-4723, CVE-2013-0941, CVE-2013-0942, CVE-2024-3096, CVE-2024-36387, CVE-2024-39573, CVE-2024-8929, CVE-2023-45802, CVE-2024-38476, CVE-2023-0465, CVE-2012-3526, CVE-2024-38477, CVE-2024-5585, CVE-2024-2408, CVE-2009-2299, CVE-2012-4360, CVE-2023-31122"
464,"CVE-2024-38475, CVE-2023-25690, CVE-2023-38709, CVE-2022-29404, CVE-2023-27522, CVE-2013-4365, CVE-2006-20001, CVE-2012-3526, CVE-2024-38476, CVE-2024-27316, CVE-2023-31122, CVE-2024-24795, CVE-2024-38472, CVE-2024-38473, CVE-2022-22721, CVE-2022-22720, CVE-2009-0796, CVE-2022-28330, CVE-2022-31813, CVE-2012-4001, CVE-2022-37436, CVE-2012-4360, CVE-2011-1176, CVE-2022-28614, CVE-2022-23943, CVE-2011-2688, CVE-2022-36760, CVE-2013-2765, CVE-2007-4723, CVE-2013-0941, CVE-2013-0942, CVE-2024-38477, CVE-2024-39573, CVE-2022-26377, CVE-2023-45802, CVE-2022-30556, CVE-2009-2299, CVE-2024-40898, CVE-2022-28615, CVE-2024-38474, CVE-2022-22719"
465,"CVE-2024-38475, CVE-2024-27316, CVE-2009-3765, CVE-2025-1219, CVE-2023-39663, CVE-2025-3641, CVE-2023-38709, CVE-2019-0190, CVE-2023-3823, CVE-2024-2408, CVE-2024-4577, CVE-2023-3824, CVE-2013-4365, CVE-2009-1390, CVE-2024-1874, CVE-2007-3205, CVE-2024-3566, CVE-2023-5678, CVE-2024-40898, CVE-2024-8932, CVE-2024-0727, CVE-2009-3766, CVE-2009-3767, CVE-2023-31122, CVE-2024-24795, CVE-2024-38472, CVE-2024-38473, CVE-2023-3247, CVE-2009-0796, CVE-2025-3628, CVE-2024-11233, CVE-2025-1861, CVE-2024-11234, CVE-2023-0466, CVE-2012-4001, CVE-2023-0464, CVE-2024-5458, CVE-2025-3625, CVE-2025-1734, CVE-2025-3627, CVE-2025-1736, CVE-2025-3643, CVE-2025-3642, CVE-2011-1176, CVE-2025-3640, CVE-2025-3647, CVE-2025-3645, CVE-2025-3644, CVE-2024-11236, CVE-2010-4208, CVE-2007-6538, CVE-2023-3817, CVE-2023-4807, CVE-2023-2650, CVE-2023-43622, CVE-2025-32045, CVE-2013-2765, CVE-2025-1217, CVE-2013-2220, CVE-2011-2688, CVE-2007-4723, CVE-2013-0941, CVE-2013-0942, CVE-2024-3096, CVE-2024-36387, CVE-2024-39573, CVE-2024-8929, CVE-2010-4207, CVE-2023-45802, CVE-2025-3637, CVE-2024-38476, CVE-2025-3638, CVE-2023-0465, CVE-2012-3526, CVE-2024-38477, CVE-2024-5585, CVE-2025-32044, CVE-2009-2299, CVE-2012-4360, CVE-2025-3636, CVE-2024-38474, CVE-2025-3634, CVE-2025-3635"
466,"CVE-2008-3844, CVE-2021-36368, CVE-2025-26465, CVE-2023-51767, CVE-2023-48795, CVE-2023-38408, CVE-2007-2768, CVE-2025-32728, CVE-2023-51385, CVE-2024-6387"
467,"CVE-2023-51385, CVE-2016-20012, CVE-2021-36368, CVE-2025-26465, CVE-2025-32728, CVE-2020-14145, CVE-2023-51767, CVE-2020-15778, CVE-2023-48795, CVE-2023-38408, CVE-2007-2768, CVE-2008-3844, CVE-2019-16905, CVE-2021-41617"
468,"CVE-2023-51385, CVE-2016-20012, CVE-2018-15919, CVE-2017-15906, CVE-2021-36368, CVE-2025-26465, CVE-2023-51767, CVE-2018-20685, CVE-2018-15473, CVE-2020-14145, CVE-2020-15778, CVE-2023-48795, CVE-2023-38408, CVE-2007-2768, CVE-2008-3844, CVE-2019-6111, CVE-2019-6110, CVE-2021-41617, CVE-2025-32728, CVE-2019-6109"
469,"CVE-2022-45315, CVE-2018-5951, CVE-2021-3014, CVE-2022-45313"
470,"CVE-2024-7592, CVE-2009-3720, CVE-2024-9287, CVE-2009-2940, CVE-2023-27043, CVE-2021-32052, CVE-2024-6232, CVE-2020-29396"
471,"CVE-2024-38475, CVE-2023-38709, CVE-2013-4365, CVE-2012-3526, CVE-2024-38476, CVE-2024-27316, CVE-2024-38474, CVE-2024-24795, CVE-2024-38472, CVE-2024-38473, CVE-2009-0796, CVE-2012-4001, CVE-2012-4360, CVE-2011-1176, CVE-2024-40898, CVE-2011-2688, CVE-2013-2765, CVE-2007-4723, CVE-2013-0941, CVE-2013-0942, CVE-2024-36387, CVE-2024-39573, CVE-2009-2299, CVE-2024-38477"
472,"CVE-2014-0133, CVE-2017-7529, CVE-2020-11023, CVE-2019-20372, CVE-2016-4450, CVE-2017-20005, CVE-2019-11358, CVE-2018-16845, CVE-2016-1247, CVE-2020-11022, CVE-2015-9251, CVE-2016-0747, CVE-2016-0746, CVE-2021-3618, CVE-2021-23017, CVE-2014-3616, CVE-2016-0742"
473,"CVE-2014-0133, CVE-2017-7529, CVE-2016-4450, CVE-2017-20005, CVE-2019-20372, CVE-2018-16845, CVE-2016-1247, CVE-2021-23017, CVE-2016-0746, CVE-2021-3618, CVE-2016-0747, CVE-2014-3616, CVE-2016-0742"
474,"CVE-2022-45315, CVE-2018-5951, CVE-2021-3014, CVE-2022-45313"
475,"CVE-2018-5951, CVE-2023-30799, CVE-2024-54772, CVE-2021-3014, CVE-2022-45315, CVE-2022-45313"
476,"CVE-2018-5951, CVE-2023-30799, CVE-2024-54772, CVE-2021-3014, CVE-2022-45315, CVE-2022-45313"
477,"CVE-2022-45315, CVE-2018-5951, CVE-2021-3014, CVE-2022-45313"
478,"CVE-2024-38475, CVE-2023-38709, CVE-2013-4365, CVE-2012-3526, CVE-2024-38476, CVE-2024-27316, CVE-2024-38474, CVE-2024-24795, CVE-2024-38472, CVE-2024-38473, CVE-2009-0796, CVE-2012-4001, CVE-2012-4360, CVE-2011-1176, CVE-2024-40898, CVE-2011-2688, CVE-2013-2765, CVE-2007-4723, CVE-2013-0941, CVE-2013-0942, CVE-2024-36387, CVE-2024-39573, CVE-2009-2299, CVE-2024-38477"
479,"CVE-2008-3844, CVE-2025-26465, CVE-2023-51767, CVE-2023-48795, CVE-2023-38408, CVE-2007-2768, CVE-2023-28531, CVE-2025-32728, CVE-2023-51384, CVE-2023-51385, CVE-2024-6387"
480,"CVE-2008-3844, CVE-2025-26465, CVE-2023-51767, CVE-2023-48795, CVE-2023-38408, CVE-2007-2768, CVE-2023-28531, CVE-2025-32728, CVE-2023-51384, CVE-2023-51385, CVE-2024-6387"
481,"CVE-2008-3844, CVE-2025-26465, CVE-2023-51767, CVE-2023-48795, CVE-2023-38408, CVE-2007-2768, CVE-2023-28531, CVE-2025-32728, CVE-2023-51384, CVE-2023-51385, CVE-2024-6387"
482,"CVE-2009-2299, CVE-2022-0778, CVE-2022-2097, CVE-2022-4304, CVE-2013-4365, CVE-2009-1390, CVE-2012-3526, CVE-2009-0796, CVE-2023-5678, CVE-2022-2068, CVE-2009-3766, CVE-2022-1292, CVE-2009-3765, CVE-2019-0190, CVE-2021-3711, CVE-2024-0727, CVE-2021-3712, CVE-2023-0464, CVE-2023-0465, CVE-2023-0466, CVE-2012-4001, CVE-2012-4360, CVE-2011-1176, CVE-2022-4450, CVE-2023-0286, CVE-2023-3817, CVE-2023-4807, CVE-2013-2765, CVE-2011-2688, CVE-2007-4723, CVE-2013-0941, CVE-2013-0942, CVE-2021-4160, CVE-2023-2650, CVE-2023-0215, CVE-2009-3767"
483,"CVE-2023-44487, CVE-2019-9516, CVE-2019-9513, CVE-2019-9511, CVE-2018-16843, CVE-2021-23017, CVE-2021-3618, CVE-2019-20372, CVE-2018-16844, CVE-2018-16845"
484,"CVE-2024-38475, CVE-2023-25690, CVE-2020-1934, CVE-2023-38709, CVE-2022-29404, CVE-2023-27522, CVE-2013-4365, CVE-2006-20001, CVE-2021-30641, CVE-2022-28330, CVE-2020-11993, CVE-2021-32791, CVE-2021-32792, CVE-2022-22719, CVE-2024-38476, CVE-2024-27316, CVE-2024-38474, CVE-2024-24795, CVE-2024-38472, CVE-2024-38473, CVE-2022-22721, CVE-2022-22720, CVE-2009-0796, CVE-2021-44790, CVE-2019-17567, CVE-2012-3526, CVE-2022-31813, CVE-2012-4001, CVE-2022-37436, CVE-2012-4360, CVE-2021-40438, CVE-2011-1176, CVE-2021-36160, CVE-2022-28614, CVE-2022-23943, CVE-2020-1927, CVE-2011-2688, CVE-2022-36760, CVE-2013-2765, CVE-2021-32786, CVE-2021-32785, CVE-2020-9490, CVE-2021-44224, CVE-2021-34798, CVE-2020-11984, CVE-2013-0941, CVE-2013-0942, CVE-2024-38477, CVE-2024-39573, CVE-2021-26690, CVE-2021-26691, CVE-2022-26377, CVE-2007-4723, CVE-2023-45802, CVE-2020-35452, CVE-2020-13938, CVE-2009-2299, CVE-2020-13950, CVE-2022-30556, CVE-2024-40898, CVE-2021-39275, CVE-2022-28615, CVE-2023-31122, CVE-2021-33193"
485,"CVE-2024-38475, CVE-2023-38709, CVE-2013-4365, CVE-2012-3526, CVE-2024-38476, CVE-2024-27316, CVE-2024-38474, CVE-2024-24795, CVE-2024-38472, CVE-2024-38473, CVE-2009-0796, CVE-2012-4001, CVE-2012-4360, CVE-2011-1176, CVE-2024-40898, CVE-2011-2688, CVE-2013-2765, CVE-2007-4723, CVE-2013-0941, CVE-2013-0942, CVE-2024-36387, CVE-2024-39573, CVE-2009-2299, CVE-2024-38477"
486,"CVE-2024-38475, CVE-2023-38709, CVE-2013-4365, CVE-2012-3526, CVE-2024-38476, CVE-2024-27316, CVE-2024-38474, CVE-2024-24795, CVE-2024-38472, CVE-2024-38473, CVE-2009-0796, CVE-2012-4001, CVE-2012-4360, CVE-2011-1176, CVE-2024-40898, CVE-2011-2688, CVE-2013-2765, CVE-2007-4723, CVE-2013-0941, CVE-2013-0942, CVE-2024-36387, CVE-2024-39573, CVE-2009-2299, CVE-2024-38477"
487,"CVE-2023-44487, CVE-2019-11358, CVE-2015-9251, CVE-2021-23017, CVE-2021-3618, CVE-2020-11022, CVE-2020-11023"
488,"CVE-2024-38475, CVE-2023-25690, CVE-2023-38709, CVE-2022-29404, CVE-2023-27522, CVE-2013-4365, CVE-2006-20001, CVE-2012-3526, CVE-2024-38476, CVE-2024-27316, CVE-2023-31122, CVE-2024-24795, CVE-2024-38472, CVE-2024-38473, CVE-2022-22721, CVE-2022-22720, CVE-2009-0796, CVE-2022-28330, CVE-2022-31813, CVE-2012-4001, CVE-2022-37436, CVE-2012-4360, CVE-2011-1176, CVE-2022-28614, CVE-2022-23943, CVE-2011-2688, CVE-2022-36760, CVE-2013-2765, CVE-2007-4723, CVE-2013-0941, CVE-2013-0942, CVE-2024-38477, CVE-2024-39573, CVE-2022-26377, CVE-2023-45802, CVE-2022-30556, CVE-2009-2299, CVE-2024-40898, CVE-2022-28615, CVE-2024-38474, CVE-2022-22719"
489,"CVE-2024-38475, CVE-2023-25690, CVE-2023-38709, CVE-2022-29404, CVE-2023-27522, CVE-2013-4365, CVE-2006-20001, CVE-2012-3526, CVE-2024-38476, CVE-2024-27316, CVE-2023-31122, CVE-2024-24795, CVE-2024-38472, CVE-2024-38473, CVE-2022-22721, CVE-2022-22720, CVE-2009-0796, CVE-2022-28330, CVE-2022-31813, CVE-2012-4001, CVE-2022-37436, CVE-2012-4360, CVE-2011-1176, CVE-2022-28614, CVE-2022-23943, CVE-2011-2688, CVE-2022-36760, CVE-2013-2765, CVE-2007-4723, CVE-2013-0941, CVE-2013-0942, CVE-2024-38477, CVE-2024-39573, CVE-2022-26377, CVE-2023-45802, CVE-2022-30556, CVE-2009-2299, CVE-2024-40898, CVE-2022-28615, CVE-2024-38474, CVE-2022-22719"
490,"CVE-2013-0941, CVE-2013-0942, CVE-2009-2299, CVE-2012-4001, CVE-2011-1176, CVE-2011-2688, CVE-2009-0796, CVE-2012-3526, CVE-2013-2765, CVE-2013-4365, CVE-2007-4723, CVE-2012-4360"
491,"CVE-2013-0941, CVE-2013-0942, CVE-2009-2299, CVE-2012-4001, CVE-2011-1176, CVE-2011-2688, CVE-2009-0796, CVE-2012-3526, CVE-2013-2765, CVE-2013-4365, CVE-2007-4723, CVE-2012-4360"
492,"CVE-2022-45315, CVE-2018-5951, CVE-2021-3014, CVE-2022-45313"
493,"CVE-2014-0117, CVE-2017-7679, CVE-2017-9798, CVE-2015-3185, CVE-2015-3184, CVE-2015-3183, CVE-2013-4365, CVE-2018-5407, CVE-2022-28330, CVE-2021-32791, CVE-2021-32792, CVE-2024-38476, CVE-2024-38477, CVE-2023-31122, CVE-2024-38475, CVE-2024-38472, CVE-2024-38473, CVE-2009-0796, CVE-2022-2068, CVE-2014-0118, CVE-2013-6438, CVE-2020-1927, CVE-2023-0286, CVE-2023-3817, CVE-2017-3167, CVE-2016-0736, CVE-2021-32786, CVE-2021-32785, CVE-2007-4723, CVE-2021-44790, CVE-2016-4975, CVE-2020-13938, CVE-2023-2650, CVE-2023-0215, CVE-2020-35452, CVE-2022-22719, CVE-2020-1934, CVE-2021-34798, CVE-2022-4304, CVE-2019-1563, CVE-2024-24795, CVE-2014-3523, CVE-2013-5704, CVE-2019-17567, CVE-2022-31813, CVE-2012-4360, CVE-2014-0231, CVE-2024-39573, CVE-2021-26690, CVE-2021-26691, CVE-2019-0220, CVE-2022-30556, CVE-2021-39275, CVE-2014-3581, CVE-2023-38709, CVE-2022-29404, CVE-2018-1312, CVE-2006-20001, CVE-2017-15710, CVE-2014-0226, CVE-2024-0727, CVE-2009-3766, CVE-2009-3767, CVE-2009-3765, CVE-2022-22721, CVE-2022-22720, CVE-2019-10092, CVE-2021-3712, CVE-2023-0464, CVE-2023-0465, CVE-2023-0466, CVE-2019-10098, CVE-2015-0228, CVE-2016-5387, CVE-2017-15715, CVE-2021-40438, CVE-2011-1176, CVE-2022-23943, CVE-2018-17199, CVE-2021-23841, CVE-2018-1301, CVE-2018-1302, CVE-2020-1968, CVE-2022-36760, CVE-2023-25690, CVE-2020-11985, CVE-2021-4160, CVE-2013-4352, CVE-2022-26377, CVE-2014-0098, CVE-2016-8743, CVE-2024-40898, CVE-2024-38474, CVE-2022-0778, CVE-2020-1971, CVE-2009-1390, CVE-2012-3526, CVE-2023-5678, CVE-2017-3736, CVE-2017-3737, CVE-2019-1547, CVE-2017-3735, CVE-2009-2299, CVE-2022-1292, CVE-2017-3738, CVE-2012-4001, CVE-2022-37436, CVE-2021-23840, CVE-2018-0737, CVE-2018-0734, CVE-2018-0732, CVE-2017-9788, CVE-2018-0739, CVE-2014-8109, CVE-2013-2765, CVE-2011-2688, CVE-2016-2161, CVE-2016-8612, CVE-2019-1552, CVE-2013-0941, CVE-2013-0942, CVE-2019-1551, CVE-2019-1559, CVE-2018-1283, CVE-2018-1303, CVE-2019-0217, CVE-2022-28615, CVE-2022-28614"
494,"CVE-2023-44487, CVE-2017-20005, CVE-2019-9516, CVE-2019-9513, CVE-2019-9511, CVE-2018-16843, CVE-2021-23017, CVE-2021-3618, CVE-2019-20372, CVE-2018-16844, CVE-2018-16845"
495,"CVE-2023-44487, CVE-2017-20005, CVE-2019-9516, CVE-2019-9513, CVE-2019-9511, CVE-2018-16843, CVE-2021-23017, CVE-2021-3618, CVE-2019-20372, CVE-2018-16844, CVE-2018-16845"
496,"CVE-2008-3844, CVE-2025-26466, CVE-2025-26465, CVE-2023-51767, CVE-2007-2768, CVE-2025-32728, CVE-2024-6387"
497,"CVE-2022-45315, CVE-2018-5951, CVE-2021-3014, CVE-2024-54772, CVE-2022-45313"
498,"CVE-2024-38475, CVE-2023-38709, CVE-2013-4365, CVE-2012-3526, CVE-2024-38476, CVE-2024-27316, CVE-2024-38474, CVE-2024-24795, CVE-2024-38472, CVE-2024-38473, CVE-2009-0796, CVE-2012-4001, CVE-2012-4360, CVE-2011-1176, CVE-2024-40898, CVE-2011-2688, CVE-2023-43622, CVE-2013-2765, CVE-2007-4723, CVE-2013-0941, CVE-2013-0942, CVE-2024-36387, CVE-2024-39573, CVE-2023-45802, CVE-2009-2299, CVE-2024-38477, CVE-2023-31122"
499,"CVE-2024-24795, CVE-2013-4365, CVE-2022-28330, CVE-2024-3566, CVE-2021-32791, CVE-2021-32792, CVE-2024-38476, CVE-2024-38477, CVE-2023-31122, CVE-2024-38475, CVE-2024-38472, CVE-2024-38473, CVE-2009-0796, CVE-2024-0727, CVE-2020-11022, CVE-2020-11023, CVE-2021-36160, CVE-2020-1927, CVE-2023-0286, CVE-2023-3817, CVE-2021-32786, CVE-2021-32785, CVE-2020-9490, CVE-2007-4723, CVE-2021-44790, CVE-2020-13938, CVE-2019-9517, CVE-2023-0215, CVE-2023-45802, CVE-2020-35452, CVE-2022-22719, CVE-2020-1934, CVE-2021-34798, CVE-2022-4304, CVE-2023-2650, CVE-2019-0217, CVE-2019-0197, CVE-2019-0196, CVE-2019-0190, CVE-2021-33193, CVE-2019-0211, CVE-2019-17567, CVE-2022-31813, CVE-2013-2220, CVE-2012-4360, CVE-2023-4807, CVE-2009-3767, CVE-2024-39573, CVE-2021-26690, CVE-2021-26691, CVE-2019-0220, CVE-2024-27316, CVE-2022-30556, CVE-2021-39275, CVE-2018-17189, CVE-2023-38709, CVE-2022-29404, CVE-2022-22720, CVE-2007-3205, CVE-2020-11993, CVE-2019-10092, CVE-2022-2068, CVE-2009-3766, CVE-2021-44224, CVE-2009-3765, CVE-2022-22721, CVE-2006-20001, CVE-2021-3711, CVE-2021-3712, CVE-2023-0464, CVE-2019-0215, CVE-2023-0466, CVE-2015-9251, CVE-2019-10098, CVE-2019-10097, CVE-2021-40438, CVE-2011-1176, CVE-2022-23943, CVE-2018-17199, CVE-2022-36760, CVE-2023-25690, CVE-2020-11984, CVE-2021-4160, CVE-2022-26377, CVE-2019-10081, CVE-2019-10082, CVE-2023-0465, CVE-2024-40898, CVE-2024-38474, CVE-2022-0778, CVE-2024-25117, CVE-2022-2097, CVE-2023-27522, CVE-2009-1390, CVE-2012-3526, CVE-2024-5458, CVE-2023-5678, CVE-2009-2299, CVE-2022-1292, CVE-2012-4001, CVE-2022-4900, CVE-2022-37436, CVE-2022-4450, CVE-2013-2765, CVE-2011-2688, CVE-2013-0941, CVE-2013-0942, CVE-2019-11358, CVE-2022-28615, CVE-2022-28614"
